,agora,coreco
246,cbp,C00169
247,minohp,C01204
248,lpam,C00248
249,44mctr,C11455
250,44mzym,C05108
251,5fthf,C03479
252,accoa,C00024
253,acgam,C00140
254,ala_B,C00099
255,anth,C00108
256,atp,C00002
257,bhb,C01089
258,bz,C00180
259,CE5126,C01089
260,chol,C00114
261,dhap,C00111
262,e4p,C00279
263,elaid,C00712
264,g3p,C00118
265,g6p_B,C01172
266,galctn_D,C00880
267,glcur,C00191
268,HC00342,C00417
269,HC02050,C00416
270,HC02051,C00416
271,HC02052,C00416
272,HC02053,C00416
273,HC02054,C00416
274,HC02063,C00162
275,HC02064,C00162
276,HC02065,C00162
277,HC02066,C00162
278,HC02067,C00162
279,HC02068,C00162
280,HC02069,C00162
281,HC02070,C00162
282,HC02071,C01885
283,HC02072,C01885
284,HC02073,C01885
285,HC02074,C01885
286,HC02075,C01885
287,HC02076,C01885
288,HC02086,C00416
289,HC02093,C00416
290,HC02111,C00002
291,HC02112,C00004
292,hdcea,C08362
293,icit,C00311
294,indole,C00463
295,Lkynr,C00328
296,M00127,C00712
297,M00503,C01885
298,M00510,C01885
299,M01389,C01172
300,M01819,C00162
301,M01820,C00162
302,meoh,C00132
303,nadh,C00004
304,nadph,C00005
305,ncam,C00153
306,ocdcea,C00712
307,pac,C07086
308,phpyr,C00166
309,quln,C03722
310,r5p,C00117
311,rbl_D,C00309
312,so3,C00094
313,succoa,C00091
314,ttdca,C06424
315,xylu_D,C00310
