Sample,cluster,dataset,bundesland,cyp51a,TR34,Itraconazole,Posaconazole,Voriconazole,overall_resistant
711-B-1-43-1,8,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
754-A-3-37s-1,8,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
78-C-1-99L-2,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
83-D-2-47L-1,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
875-E-1-65L-4,8,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
91-D-2-50s-1,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
C22-NRZ-2017-322,8,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C23-NRZ-2017-346,8,Hospitals,North Rhine-Westphalia,NA,NA,resistant,susceptible,resistant,resistant
C33-NRZ-2017-101,8,Hospitals,Bavaria,NA,NA,susceptible,susceptible,susceptible,susceptible
C42-NRZ-2018-307,8,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C8-NRZ-2016-141,8,Hospitals,Lower Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
240-F-1-13L-1,9,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
254-F-1-13L-3,9,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
592-I-1-49-3,9,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
815-A-2-34L-2,9,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
93-D-2-48L-1,9,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
