,Sample,cluster,dataset,cyp51a,TR34,Itraconazole,Posaconazole,Voriconazole,overall_resistant
54,79-C-1-69s-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
55,82-D-2-47L-2,2,Environment,,,susceptible,susceptible,susceptible,susceptible
56,969-B-1-26-5,2,Environment,,,susceptible,susceptible,susceptible,susceptible
57,99-C-1-77s-2,2,Environment,,,susceptible,susceptible,susceptible,susceptible
58,C10-NRZ-2017-039,2,Hospitals,,,resistant,resistant,susceptible,resistant
59,C2-NRZ-2015-218,2,Hospitals,,,resistant,susceptible,susceptible,resistant
60,C30-NRZ-2017-546,2,Hospitals,,,susceptible,susceptible,susceptible,susceptible
61,C48-NRZ-2018-539,2,Hospitals,mutation,wt,resistant,susceptible,resistant,resistant
62,1-D-2-2s-3,3,Environment,,,susceptible,susceptible,susceptible,susceptible
63,104-D-2-32L-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
64,114-B-1-69L-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
65,118-B-1-63s-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
66,119-B-1-66s-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
67,12-D-2-44L-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
68,124-B-1-66L-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
69,125-B-1-73L-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
70,126-A-2-26s-2,3,Environment,,,susceptible,susceptible,susceptible,susceptible
71,13-D-2-43L-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
72,14-D-2-43L-2,3,Environment,,,susceptible,susceptible,susceptible,susceptible
73,154-A-2-47L-2,3,Environment,,,susceptible,susceptible,susceptible,susceptible
74,155-A-2-47s-3,3,Environment,,,susceptible,susceptible,susceptible,susceptible
75,169-K-1-18L-3,3,Environment,,,susceptible,susceptible,susceptible,susceptible
76,174-K-1-32s-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
77,186-K-1-18L-6,3,Environment,,,susceptible,susceptible,susceptible,susceptible
78,22-C-1-60L-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
79,231-K-1-12L-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
80,238-F-1-4L-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
81,271-I-1-32-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
82,29-D-2-35s-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
83,325-C-1-6s-3,3,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
84,332-C-1-31L-1,3,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
85,382-A-2-35s-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
86,386-C-1-33L-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
87,390-A-2-36s-3,3,Environment,,,susceptible,susceptible,susceptible,susceptible
88,394-L-2-24-1,3,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
89,429-D-2-25L-2,3,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
90,468-H-1-30-2,3,Environment,,,susceptible,susceptible,susceptible,susceptible
91,55-C-1-66L-3,3,Environment,,,susceptible,susceptible,susceptible,susceptible
92,552-H-1-1-2,3,Environment,,,susceptible,susceptible,susceptible,susceptible
93,599-F-1-14-1,3,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
94,652-G-2-6-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
95,653-G-2-1-2,3,Environment,,,susceptible,susceptible,susceptible,susceptible
96,663-G-2-3-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
97,665-G-2-9-2,3,Environment,,,susceptible,susceptible,susceptible,susceptible
98,669-L-3-21-3,3,Environment,,,susceptible,susceptible,susceptible,susceptible
99,7-C-1-34s-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
100,701-E-1-75s-1,3,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
101,704-E-1-70L-4,3,Environment,,,susceptible,susceptible,susceptible,susceptible
102,709-A-2-49L-5,3,Environment,,,susceptible,susceptible,susceptible,susceptible
103,716-E-1-70L-5,3,Environment,,,susceptible,susceptible,susceptible,susceptible
104,717-E-1-74s-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
105,767-E-1-67s-1,3,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
106,774-B-1-44-s,3,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
107,882-F-1-39-1,3,Environment,,,susceptible,susceptible,susceptible,susceptible
108,901-A-2-45L-5,3,Environment,,,susceptible,susceptible,susceptible,susceptible
109,940-A-2-43L-2,3,Environment,,,susceptible,susceptible,susceptible,susceptible
110,975-B-1-27-5,3,Environment,,,susceptible,susceptible,susceptible,susceptible
111,978-B-1-46-5,3,Environment,,,susceptible,susceptible,susceptible,susceptible
112,C13-NRZ-2017-069,3,Hospitals,,,susceptible,,susceptible,susceptible
113,C17-NRZ-2017-134,3,Hospitals,,,susceptible,susceptible,susceptible,susceptible
114,C24-NRZ-2017-362,3,Hospitals,,,resistant,resistant,resistant,resistant
115,C28-NRZ-2017-534,3,Hospitals,,,susceptible,susceptible,susceptible,susceptible
116,C29-NRZ-2017-537,3,Hospitals,,,susceptible,susceptible,susceptible,susceptible
117,C32-NRZ-2018-097,3,Hospitals,,,susceptible,susceptible,susceptible,susceptible
118,C34-NRZ-2018-123,3,Hospitals,,,susceptible,susceptible,susceptible,susceptible
119,C43-NRZ-2018-313,3,Hospitals,mutation,mutation,resistant,susceptible,susceptible,resistant
120,C45-NRZ-2018-326,3,Hospitals,,,susceptible,susceptible,susceptible,susceptible
121,C46-NRZ-2018-396,3,Hospitals,,,susceptible,,susceptible,susceptible
122,C49-NRZ-2018-646,3,Hospitals,,,resistant,resistant,resistant,resistant
123,113-B-1-71L-1,4,Environment,,,susceptible,susceptible,susceptible,susceptible
124,115-B-1-70s-1,4,Environment,,,susceptible,susceptible,susceptible,susceptible
125,616-D-2-23L-5,4,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
126,355-E-1-35-1,5,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
127,692-L-3-24-3,5,Environment,,,susceptible,susceptible,susceptible,susceptible
128,120-B-1-68s-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
129,16-D-2-39L-2,6,Environment,,,susceptible,susceptible,susceptible,susceptible
130,180-K-1-8L-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
131,190-K-1-4s-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
132,211-L-2-11-2,6,Environment,,,susceptible,susceptible,susceptible,susceptible
133,220-L-2-11-4,6,Environment,,,susceptible,susceptible,susceptible,susceptible
134,227-F-1-10L-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
135,230-K-1-4s-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
136,259-I-1-25-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
137,262-I-1-12-1,6,Environment,mutation,mutation,resistant,resistant,resistant,resistant
138,275-I-1-19-2,6,Environment,,,susceptible,susceptible,susceptible,susceptible
139,334-E-1-48-2,6,Environment,mutation,mutation,resistant,resistant,resistant,resistant
140,349-E-1-33L-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
141,375-C-1-6s-2,6,Environment,mutation,mutation,resistant,resistant,resistant,resistant
142,377-C-1-33L-2,6,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
143,4-C-1-24L-2,6,Environment,,,susceptible,susceptible,susceptible,susceptible
