Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
R3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97E-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3014,-28.03712267,-30.77600842,0,-28.58391969,-29.25849253,-28.09045957,-30.93101768,-29.39553087,-26.66241819,-35.98061698,-27.84814396,-29.2843233,-28.03201154,-28.57593802,0,-33.06789577,-30.88583706,-18.60924401,-28.77379817,0,-27.66481387,-29.08207589,-28.20171627,-27.7008877,-30.78290193,-27.72031079,-27.77215502,0,-28.2487757,-27.6010528,-27.22077246,-29.44898915,0,-27.59257272,-22.43118938,-27.35404398,-29.2782633,-26.40525192,-28.12956592,-27.50894592,0,-29.08207589,-32.55368213,-26.76141522,-29.18139971,0,0,-26.82629981,0
R3015,-3.440024999,-3.449524941,-3.350189658,-3.689322816,-3.880161482,-3.803715088,-3.449501806,-3.106619787,-3.641257102,-3.451954021,-3.812715149,-2.957546816,-3.848674764,-3.45858348,-3.391897205,-3.451598412,-3.836304187,-2.625890572,-3.857483648,-3.571619768,-3.790012998,-3.839070325,-3.803715088,-2.829212365,-3.802430627,-3.770399004,-3.84848036,-3.599546175,-3.877231281,-3.78779278,-3.618405855,-3.470303379,-3.518063437,-3.657618889,-3.283313468,-3.778975491,-3.452975407,-3.515643229,-3.786866956,-3.452280423,-3.636914328,-3.860454448,-3.439338713,-3.67952098,-3.694542772,-3.407111438,-3.421344304,-3.21111733,-3.519234367
R3016,0.804987074,0.815441726,0.781808069,0.836921222,0.847705354,0.838503636,0.815441726,0.823257653,0.824588732,0.83743946,0.83144784,0.822827879,0.840787329,0.816142571,0.785859032,0.83743946,0.866916091,0.646298156,0.843153697,0.837098926,0.831634392,0.845842107,0.838503636,0.787197127,0.862032184,0.825491433,0.843153697,0.835343701,0.838972863,0.831634392,0.821923496,0.804987074,0.820268611,0.833435798,0.84621918,0.828986721,0.808406236,0.752363409,0.838503636,0.808655096,0.845842107,0.845842107,0.824306753,0.825383995,0.840826382,0.78130273,0.790331454,0.797600464,0.829760456
R3017,0,0,-17.60468889,0,0,0,0,0,-16.00306619,0,0,0,0,0,-17.92377917,0,0,-15.95652377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.92918286,0,0,0,0,0,0,-17.29701046,0,0,0,-16.17221811,-17.93991796,-17.98987719,0,0
R3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14E-13,0,0,0,0,0,0,-3.53E-14,0,0,0,0,0,0,0,0
R3019,-21.05511417,-21.05785327,-23.84869011,-22.83763466,-24.52354582,-24.01798899,-21.03832365,-24.35501752,-22.55249017,-20.15324749,-24.08356438,-24.58505001,-24.53735622,-21.1158583,-23.8046876,-20.14682206,-23.17274737,-14.00379753,-24.61601081,-24.03264311,-23.90045256,-23.95149976,-24.01798899,-21.74483386,-22.68314266,-23.96976821,-24.15082017,-22.98276044,-24.38994001,-24.18629321,-22.52143108,-21.33335549,-23.76044956,-22.74800646,-20.94682651,-24.13085502,-21.06560653,-22.12822004,-23.61355161,-21.0406622,-23.12094347,-24.47466866,-20.12473885,-22.99086331,-22.81186367,-24.19998301,-24.34688092,-21.1733696,-23.7380545
