truth,pred,fold_id
environmental,0.515107932,1
environmental,0.699910088,1
environmental,0.413552848,1
environmental,0.719091786,1
clinical,0.37204774,1
environmental,0.692385256,1
clinical,0.678812402,2
environmental,0.328164621,2
environmental,0.701302008,2
environmental,0.758876727,2
environmental,0.393518335,2
environmental,0.685660699,2
clinical,0.545996948,2
environmental,0.291548553,2
environmental,0.369166662,2
clinical,0.665671193,2
environmental,0.790680138,2
environmental,0.427456401,2
environmental,0.481772741,2
environmental,0.732306223,2
environmental,0.830760925,2
environmental,0.599389829,2
clinical,0.507226782,2
environmental,0.851699376,2
environmental,0.622594589,2
environmental,0.588696798,2
environmental,0.58950123,2
clinical,0.676061116,2
environmental,0.878745042,2
clinical,0.275357398,2
environmental,0.61522708,2
environmental,0.61082445,2
environmental,0.267367489,2
environmental,0.687948982,2
environmental,0.599638566,2
clinical,0.614244097,2
environmental,0.881625196,2
environmental,0.703031362,2
environmental,0.236115202,2
environmental,0.58051224,2
clinical,0.498450857,2
environmental,0.662952659,2
environmental,0.748321618,2
environmental,0.621060408,2
environmental,0.340134172,2
environmental,0.845739991,2
environmental,0.748881616,2
environmental,0.731917859,2
environmental,0.59478129,2
environmental,0.734430179,2
environmental,0.767209416,2
environmental,0.628360946,2
environmental,0.727436919,2
environmental,0.507645383,2
clinical,0.377111341,2
clinical,0.43853485,2
clinical,0.480291343,2
environmental,0.751025599,2
environmental,0.525032356,2
clinical,0.480679388,2
environmental,0.844939559,2
environmental,0.845006844,2
clinical,0.29287741,2
environmental,0.778732086,2
environmental,0.77660384,2
environmental,0.531491258,2
clinical,0.861445678,2
environmental,0.671370356,2
environmental,0.82085215,2
environmental,0.705601549,2
environmental,0.889953595,2
environmental,0.883272515,2
environmental,0.47503555,2
environmental,0.475108014,2
environmental,0.859251708,2
environmental,0.767210013,2
clinical,0.753945137,2
environmental,0.770083577,2
environmental,0.6229138,2
environmental,0.716368251,2
environmental,0.748111251,2
environmental,0.581829221,2
environmental,0.668955527,2
environmental,0.616501526,2
clinical,0.310403325,2
environmental,0.601571243,2
clinical,0.530282021,2
environmental,0.474826097,2
environmental,0.635302315,2
environmental,0.581553545,2
environmental,0.424786076,2
environmental,0.540647583,2
environmental,0.805660886,2
environmental,0.530720545,2
environmental,0.519370266,2
environmental,0.758755944,2
environmental,0.693935875,2
clinical,0.362764185,2
clinical,0.434543492,2
environmental,0.58812071,2
clinical,0.379988813,2
environmental,0.596632073,2
environmental,0.847703803,2
environmental,0.633680729,2
environmental,0.563820422,2
environmental,0.802960801,2
environmental,0.423718999,2
environmental,0.41497698,2
environmental,0.505056584,2
environmental,0.642251915,2
environmental,0.709066737,2
environmental,0.449844172,2
environmental,0.77191529,2
clinical,0.358841657,2
environmental,0.473600026,2
clinical,0.71632136,2
clinical,0.849713477,2
clinical,0.642671339,2
environmental,0.612120548,2
environmental,0.768270257,2
environmental,0.345367547,2
environmental,0.720675435,2
environmental,0.792578457,2
environmental,0.56431732,2
environmental,0.7801698,2
environmental,0.811889262,2
environmental,0.848933846,2
clinical,0.447222731,2
environmental,0.74119165,2
clinical,0.380041792,2
environmental,0.82510742,2
environmental,0.504831702,2
environmental,0.750830099,2
environmental,0.472848822,2
clinical,0.509965751,2
environmental,0.605230586,2
environmental,0.827859594,2
environmental,0.523763753,2
environmental,0.518995168,2
environmental,0.461669146,2
environmental,0.757129388,2
environmental,0.787322867,2
environmental,0.72874639,2
environmental,0.707467457,2
environmental,0.731039372,2
environmental,0.354795642,2
environmental,0.893195271,2
environmental,0.43860325,2
environmental,0.826900954,2
clinical,0.536882652,2
environmental,0.4986232,2
environmental,0.480472589,2
environmental,0.915321986,2
clinical,0.436839451,2
environmental,0.517485592,2
environmental,0.645383744,2
environmental,0.507526835,2
environmental,0.614997624,2
environmental,0.410246844,2
environmental,0.517269263,2
clinical,0.252683268,2
environmental,0.377586345,2
environmental,0.842526652,2
environmental,0.914994069,2
environmental,0.531818979,2
environmental,0.369761171,2
clinical,0.318831736,2
environmental,0.823486428,2
clinical,0.423898746,2
environmental,0.50894893,2
environmental,0.666014692,2
clinical,0.329381459,2
environmental,0.660099075,2
environmental,0.67441072,2
clinical,0.32239782,2
environmental,0.331882767,2
environmental,0.521604354,2
environmental,0.684581161,2
environmental,0.843351947,2
clinical,0.374853786,2
clinical,0.615559234,2
environmental,0.827302919,2
environmental,0.58255985,2
environmental,0.450371505,2
environmental,0.704701857,2
environmental,0.816165918,2
environmental,0.683144458,2
environmental,0.704153284,2
environmental,0.814849995,2
environmental,0.844598348,2
environmental,0.653208871,2
environmental,0.527215884,2
environmental,0.740185405,2
environmental,0.722950216,2
environmental,0.637391457,2
environmental,0.549870993,2
clinical,0.686813877,2
environmental,0.54933464,2
environmental,0.713519654,2
clinical,0.66324328,2
environmental,0.806443522,2
clinical,0.19742681,2
clinical,0.66620681,2
clinical,0.530423108,2
environmental,0.759200986,2
environmental,0.552635155,2
environmental,0.527350248,2
environmental,0.462082481,2
clinical,0.560767798,2
environmental,0.634384241,2
environmental,0.516033321,2
environmental,0.527617943,2
environmental,0.651009953,2
environmental,0.593184284,2
clinical,0.352223067,2
environmental,0.51896334,2
environmental,0.668512603,2
environmental,0.341614675,2
environmental,0.76952654,2
environmental,0.369340609,2
environmental,0.747636532,2
environmental,0.73229862,2
environmental,0.460627433,2
environmental,0.429114826,2
environmental,0.400146038,2
environmental,0.297931826,2
environmental,0.53210207,2
environmental,0.424776416,2
environmental,0.598209227,2
clinical,0.364562279,2
environmental,0.602908039,2
environmental,0.758869399,2
environmental,0.525779813,2
environmental,0.537848514,2
environmental,0.746281626,2
clinical,0.585633688,2
environmental,0.412116084,2
environmental,0.707001369,2
environmental,0.669467141,2
environmental,0.841421059,2
clinical,0.578086369,2
environmental,0.847685138,2
environmental,0.519502141,2
environmental,0.719015999,2
clinical,0.678237046,2
environmental,0.853681007,2
environmental,0.550795476,2
clinical,0.456990194,2
environmental,0.633814964,2
environmental,0.417474932,2
environmental,0.65994817,2
environmental,0.507814305,2
environmental,0.621215844,2
environmental,0.806020372,2
environmental,0.701141179,2
clinical,0.434662854,2
environmental,0.765322197,2
environmental,0.754199148,2
environmental,0.644371504,3
environmental,0.608701504,3
environmental,0.551889657,3
environmental,0.823975145,3
environmental,0.286738256,3
environmental,0.515553979,3
environmental,0.466983174,3
environmental,0.688618781,3
environmental,0.745983661,3
environmental,0.674950997,3
environmental,0.715819338,3
environmental,0.814992564,3
clinical,0.672014174,3
environmental,0.409561083,3
clinical,0.411512531,3
environmental,0.683048267,3
environmental,0.445222264,3
environmental,0.324261422,3
environmental,0.658987214,3
clinical,0.578453992,3
clinical,0.687251379,3
environmental,0.400143335,3
environmental,0.703197867,3
clinical,0.443082613,3
environmental,0.891126561,3
environmental,0.575357625,3
clinical,0.424946395,3
environmental,0.564665909,3
environmental,0.661004476,3
environmental,0.68575748,3
environmental,0.531239382,3
environmental,0.785734075,3
environmental,0.676423454,3
environmental,0.697288913,3
environmental,0.701518702,3
environmental,0.861769585,3
environmental,0.515513615,3
environmental,0.761320608,3
environmental,0.448949554,3
environmental,0.47402112,3
environmental,0.714092652,3
clinical,0.205399951,3
environmental,0.686268734,3
environmental,0.363936019,3
clinical,0.260947588,3
clinical,0.453129158,3
environmental,0.637649483,3
environmental,0.522584652,3
environmental,0.500036762,3
clinical,0.489509634,3
clinical,0.459779137,3
environmental,0.582015436,3
clinical,0.602272807,3
environmental,0.536791268,3
environmental,0.600603163,3
environmental,0.539562271,3
environmental,0.552917984,3
environmental,0.675661362,3
clinical,0.341410245,3
clinical,0.57272555,3
environmental,0.493247136,3
clinical,0.827220041,3
environmental,0.558140075,3
environmental,0.589600309,3
environmental,0.928497189,3
environmental,0.709097731,3
environmental,0.692561954,3
